                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.74373,                 0.3696,                 1.0132,                0.85262,                0.86231,                0.83559,                0.71531,                 0.6537,                 1.1724,                0.94847,               0.007459,               0.007459,               0.007459
                     80,                0.73856,                0.36823,                 1.0072,                 0.8583,                0.85802,                0.81638,                0.69823,                0.64114,                 1.1899,                 0.9454,               0.007426,               0.007426,               0.007426
                     81,                0.72933,                0.36914,                 1.0045,                0.85866,                0.85665,                0.82141,                0.70594,                0.61591,                 1.2177,                0.93385,               0.007393,               0.007393,               0.007393
                     82,                0.73394,                0.36825,                 1.0072,                 0.8527,                0.85819,                0.83168,                0.71159,                0.63618,                 1.1555,                  0.939,                0.00736,                0.00736,                0.00736
                     83,                0.72064,                0.36314,                0.99879,                0.85629,                0.85951,                0.82373,                0.71138,                0.60803,                 1.2164,                0.93499,               0.007327,               0.007327,               0.007327
                     84,                 0.7273,                0.36292,                 1.0048,                0.85476,                0.86097,                0.81449,                0.69768,                0.62953,                 1.2793,                0.94197,               0.007294,               0.007294,               0.007294
                     85,                0.72542,                0.36718,                 1.0018,                0.85554,                0.85994,                0.82941,                0.70865,                0.62982,                  1.245,                0.94687,               0.007261,               0.007261,               0.007261
                     86,                0.73171,                0.36528,                 1.0092,                0.85704,                0.85687,                0.82149,                0.70148,                0.63366,                 1.1609,                0.94421,               0.007228,               0.007228,               0.007228
                     87,                0.72543,                0.36009,                 1.0001,                0.85914,                0.86065,                0.82096,                0.70286,                0.62637,                  1.216,                 0.9285,               0.007195,               0.007195,               0.007195
                     88,                0.72054,                0.36104,                0.99494,                 0.8535,                0.85687,                0.81619,                0.70005,                0.61937,                 1.1734,                0.93476,               0.007162,               0.007162,               0.007162
                     89,                0.71542,                 0.3607,                0.99521,                0.85734,                0.86007,                0.82872,                0.70994,                 0.6318,                 1.2046,                0.93774,               0.007129,               0.007129,               0.007129
                     90,                0.72072,                0.36326,                 1.0014,                0.86043,                0.85934,                0.81149,                0.68906,                0.61246,                 1.2035,                0.93227,               0.007096,               0.007096,               0.007096
                     91,                0.71073,                0.36202,                0.99383,                0.85517,                0.86197,                0.81476,                0.69803,                0.63099,                 1.2377,                0.93806,               0.007063,               0.007063,               0.007063
                     92,                0.72111,                0.35993,                 1.0043,                0.85484,                0.85802,                0.81581,                0.70655,                0.59877,                  1.222,                0.92917,                0.00703,                0.00703,                0.00703
                     93,                0.71857,                0.36057,                 1.0066,                0.85683,                 0.8599,                0.83085,                0.72268,                0.60807,                 1.2488,                0.93507,               0.006997,               0.006997,               0.006997
                     94,                0.71658,                0.35794,                0.99889,                0.85485,                0.85802,                0.82906,                0.71203,                0.62119,                 1.2552,                0.93657,               0.006964,               0.006964,               0.006964
                     95,                 0.7156,                0.36312,                 1.0045,                0.85365,                 0.8626,                0.83558,                0.71331,                 0.6357,                  1.183,                0.93708,               0.006931,               0.006931,               0.006931
                     96,                0.70466,                0.35926,                 0.9945,                0.85346,                0.85609,                0.82246,                0.70428,                0.64423,                 1.2212,                0.95759,               0.006898,               0.006898,               0.006898
                     97,                 0.7135,                0.35594,                0.99981,                0.85467,                0.85681,                0.83588,                0.70383,                0.64047,                 1.1821,                 0.9451,               0.006865,               0.006865,               0.006865
                     98,                0.70807,                0.36192,                0.99705,                0.85572,                 0.8567,                0.83701,                0.72008,                0.62352,                 1.1937,                0.93481,               0.006832,               0.006832,               0.006832
                     99,                0.71202,                0.35804,                0.99984,                0.85579,                0.85802,                0.83576,                0.71897,                0.62942,                 1.2382,                0.93904,               0.006799,               0.006799,               0.006799
                    100,                0.70641,                0.36101,                0.99545,                0.85416,                0.86154,                0.81815,                0.69266,                0.66548,                 1.1761,                0.95338,               0.006766,               0.006766,               0.006766
                    101,                0.70256,                0.35332,                0.99131,                0.85749,                 0.8567,                0.82093,                0.70298,                 0.6138,                 1.2048,                0.93517,               0.006733,               0.006733,               0.006733
                    102,                0.70331,                0.35408,                 0.9874,                0.85878,                0.85538,                0.83307,                0.71858,                0.61731,                 1.1896,                0.93457,                 0.0067,                 0.0067,                 0.0067
                    103,                0.69544,                0.35274,                0.98582,                0.85495,                0.86218,                0.83027,                0.71474,                0.62048,                 1.2066,                0.93527,               0.006667,               0.006667,               0.006667
                    104,                0.69691,                0.35407,                0.99442,                0.85876,                 0.8601,                0.81929,                0.70483,                0.61549,                 1.2444,                0.93913,               0.006634,               0.006634,               0.006634
                    105,                 0.6988,                0.35597,                0.98988,                0.85296,                0.85934,                0.84017,                0.73034,                0.61259,                 1.1944,                0.93633,               0.006601,               0.006601,               0.006601
                    106,                0.69189,                0.34882,                0.98588,                0.85661,                0.85814,                0.83972,                0.73104,                0.59615,                 1.1756,                 0.9235,               0.006568,               0.006568,               0.006568
                    107,                0.70791,                0.35904,                 1.0017,                0.85673,                0.85683,                0.83659,                0.71755,                0.62037,                 1.1852,                0.93853,               0.006535,               0.006535,               0.006535
                    108,                0.68606,                0.34436,                0.98295,                0.85359,                0.85934,                0.82063,                0.70718,                0.60944,                  1.254,                 0.9398,               0.006502,               0.006502,               0.006502
                    109,                0.69485,                0.34854,                0.99005,                0.85484,                0.86065,                0.83466,                0.72484,                0.61286,                 1.1472,                0.94621,               0.006469,               0.006469,               0.006469
                    110,                0.68682,                0.35187,                 0.9896,                0.85755,                0.85836,                0.83288,                0.72027,                0.61299,                 1.1608,                0.93931,               0.006436,               0.006436,               0.006436
                    111,                0.69354,                0.35012,                0.98919,                0.85723,                0.86065,                0.82693,                0.70537,                0.64414,                 1.1426,                0.94593,               0.006403,               0.006403,               0.006403
                    112,                0.69533,                0.35361,                0.99124,                0.85516,                0.86055,                0.82413,                0.71435,                0.60906,                 1.1835,                0.94335,                0.00637,                0.00637,                0.00637
                    113,                0.68058,                0.34518,                0.98609,                0.85658,                0.86019,                0.81934,                0.70772,                 0.6192,                 1.2389,                0.95064,               0.006337,               0.006337,               0.006337
                    114,                0.67219,                0.34201,                0.97666,                0.85654,                0.85934,                0.83675,                0.72909,                0.60821,                 1.2405,                0.93587,               0.006304,               0.006304,               0.006304
                    115,                0.69019,                0.34771,                0.98743,                0.85511,                0.85538,                0.82702,                0.72109,                0.59905,                 1.2214,                 0.9355,               0.006271,               0.006271,               0.006271
                    116,                 0.6811,                0.34538,                0.98174,                 0.8542,                0.85954,                0.82191,                0.71483,                 0.6041,                 1.1727,                0.93904,               0.006238,               0.006238,               0.006238
                    117,                0.67914,                0.34344,                0.97852,                0.85609,                0.86202,                0.83318,                0.72455,                0.60855,                 1.1594,                0.93395,               0.006205,               0.006205,               0.006205
                    118,                 0.6676,                0.34137,                0.98014,                0.85542,                 0.8567,                0.82906,                0.71935,                0.59335,                 1.2145,                0.93209,               0.006172,               0.006172,               0.006172
                    119,                0.67697,                0.34243,                0.98062,                0.85901,                0.85802,                 0.8127,                  0.703,                0.60356,                 1.2273,                0.93415,               0.006139,               0.006139,               0.006139
                    120,                0.67089,                0.33953,                0.97484,                0.85635,                0.85802,                0.82861,                0.72078,                0.60056,                 1.1855,                0.93007,               0.006106,               0.006106,               0.006106
                    121,                0.66837,                0.33945,                0.98074,                0.85433,                0.85934,                0.82998,                0.71698,                0.61272,                 1.2207,                0.93335,               0.006073,               0.006073,               0.006073
                    122,                0.67466,                0.33959,                0.97894,                0.85743,                0.85687,                0.82468,                0.71477,                  0.602,                 1.2408,                0.93166,                0.00604,                0.00604,                0.00604
                    123,                0.66188,                0.33958,                0.97337,                0.85526,                0.85926,                0.83514,                0.72536,                0.60088,                 1.1873,                0.93435,               0.006007,               0.006007,               0.006007
                    124,                0.66754,                0.33741,                0.97536,                0.85595,                0.85819,                0.82481,                0.71545,                0.59623,                 1.1757,                 0.9318,               0.005974,               0.005974,               0.005974
                    125,                0.65791,                  0.336,                0.97139,                0.85729,                0.85716,                0.82423,                 0.7161,                0.60183,                 1.1939,                  0.932,               0.005941,               0.005941,               0.005941
                    126,                0.66455,                0.33526,                0.97257,                0.85378,                0.86119,                0.82936,                0.71942,                0.59583,                  1.195,                0.93217,               0.005908,               0.005908,               0.005908
                    127,                0.65926,                 0.3334,                0.97107,                0.85665,                0.85802,                0.83195,                0.72493,                0.58575,                  1.192,                0.92956,               0.005875,               0.005875,               0.005875
                    128,                0.66984,                0.33858,                 0.9798,                0.85551,                0.85556,                0.81789,                0.70547,                0.60002,                 1.1517,                0.93181,               0.005842,               0.005842,               0.005842
                    129,                0.65751,                0.33884,                0.97405,                0.85561,                0.85687,                0.82919,                0.71544,                0.61155,                 1.2005,                0.93981,               0.005809,               0.005809,               0.005809
                    130,                0.65964,                 0.3352,                0.97506,                0.86022,                0.85324,                0.82605,                0.72026,                0.59367,                 1.1888,                0.93211,               0.005776,               0.005776,               0.005776
                    131,                0.66592,                0.33634,                0.98054,                0.86005,                0.85819,                0.82143,                0.71258,                 0.6195,                 1.1747,                0.94331,               0.005743,               0.005743,               0.005743
                    132,                0.65727,                0.33261,                0.96591,                  0.857,                0.85802,                0.81731,                0.70892,                0.60097,                 1.2023,                 0.9376,                0.00571,                0.00571,                0.00571
                    133,                0.65198,                0.33347,                0.96905,                0.85699,                 0.8567,                0.80479,                0.69831,                 0.5977,                 1.1752,                0.92521,               0.005677,               0.005677,               0.005677
                    134,                0.65615,                0.33588,                 0.9719,                 0.8592,                0.85687,                0.82364,                0.71955,                0.58921,                 1.1637,                0.92517,               0.005644,               0.005644,               0.005644
                    135,                0.65347,                0.33238,                0.97132,                 0.8583,                0.85934,                0.83256,                0.72498,                0.59322,                 1.1631,                0.92773,               0.005611,               0.005611,               0.005611
                    136,                0.64366,                0.33023,                0.96227,                0.85323,                0.86345,                0.81514,                0.71084,                0.58839,                 1.1865,                0.93126,               0.005578,               0.005578,               0.005578
                    137,                0.65358,                0.33367,                0.97485,                0.85627,                 0.8567,                0.80359,                 0.6972,                0.58797,                 1.1714,                0.93142,               0.005545,               0.005545,               0.005545
                    138,                0.65278,                0.33303,                0.96791,                0.85705,                0.85687,                0.82415,                 0.7208,                 0.5871,                 1.1988,                0.92828,               0.005512,               0.005512,               0.005512
                    139,                0.64307,                0.32811,                0.96682,                0.85273,                0.86247,                0.81934,                0.71614,                0.58704,                 1.2165,                0.92677,               0.005479,               0.005479,               0.005479
                    140,                0.64759,                0.32981,                 0.9666,                0.85743,                0.85819,                0.82229,                0.71805,                 0.5892,                   1.24,                0.93088,               0.005446,               0.005446,               0.005446
                    141,                  0.643,                0.32925,                0.96786,                 0.8556,                0.86281,                 0.8315,                0.73132,                0.57804,                 1.2255,                0.92795,               0.005413,               0.005413,               0.005413
                    142,                0.65039,                0.33347,                0.96753,                0.85928,                 0.8567,                0.82251,                0.72222,                0.59001,                 1.1909,                0.93011,                0.00538,                0.00538,                0.00538
                    143,                0.63817,                0.32775,                0.96224,                0.85149,                0.86312,                0.82513,                0.71868,                0.60814,                 1.2276,                0.93682,               0.005347,               0.005347,               0.005347
                    144,                0.64303,                0.32933,                0.96287,                0.85856,                0.85934,                0.82145,                0.71722,                0.60043,                 1.2355,                0.93266,               0.005314,               0.005314,               0.005314
                    145,                0.63872,                0.32628,                0.96133,                0.85833,                0.86197,                 0.8171,                0.71709,                0.58701,                 1.2082,                0.92524,               0.005281,               0.005281,               0.005281
                    146,                0.63063,                0.32089,                0.95831,                0.85511,                0.86194,                0.83089,                0.72719,                0.58765,                 1.2006,                0.92992,               0.005248,               0.005248,               0.005248
                    147,                0.64278,                0.32822,                  0.966,                0.85626,                0.86079,                0.82875,                0.72607,                0.58675,                  1.194,                0.92839,               0.005215,               0.005215,               0.005215
                    148,                0.64631,                0.33091,                 0.9649,                0.85441,                0.86286,                0.82515,                0.72325,                0.58307,                 1.1858,                0.92875,               0.005182,               0.005182,               0.005182
                    149,                0.62716,                0.32446,                0.95503,                0.85707,                0.85955,                0.81958,                0.72015,                0.58442,                 1.2073,                0.93134,               0.005149,               0.005149,               0.005149
                    150,                0.62843,                0.32411,                0.96224,                0.85739,                 0.8621,                0.82099,                0.71953,                0.59182,                 1.2306,                0.93163,               0.005116,               0.005116,               0.005116
                    151,                0.63574,                0.32488,                0.96526,                0.85369,                 0.8608,                0.81788,                0.71957,                0.59824,                 1.2276,                 0.9322,               0.005083,               0.005083,               0.005083
                    152,                0.62684,                 0.3218,                0.95469,                0.85389,                0.86164,                0.82465,                 0.7215,                0.60203,                 1.2185,                0.93142,                0.00505,                0.00505,                0.00505
                    153,                0.62682,                0.32104,                0.94997,                0.86033,                0.85934,                0.82564,                0.72322,                0.59501,                 1.2011,                 0.9286,               0.005017,               0.005017,               0.005017
                    154,                0.62743,                0.32236,                0.96307,                0.85863,                 0.8616,                 0.8294,                0.72707,                 0.5917,                 1.1885,                 0.9278,               0.004984,               0.004984,               0.004984
                    155,                0.62042,                0.31901,                0.94806,                0.85658,                0.86461,                0.82084,                0.71638,                0.58946,                 1.1976,                0.93268,               0.004951,               0.004951,               0.004951
                    156,                0.63041,                 0.3205,                0.96517,                0.85725,                0.86319,                0.82602,                0.71961,                0.59471,                 1.2115,                0.93156,               0.004918,               0.004918,               0.004918
